Canal;Transportadora;UF Origem;Centro;Cli - Nome;NFe;NFe - Dt E;    NFe - Vlr;Cli - Cidade;UF Destino;Resp.Agend;Ocorrências;Prev. Entr;Dt .Agenda;Status;Cli -  Age;Nº Documen
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370702-10;20.12.2024;14.105,80;Serra;ES;Grupo C;900-EMISSÃO DE NOTA FISCAL;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753193
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370703-10;20.12.2024;19.748,11;Serra;ES;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753194
40 - Totaline BR;MODULAR TRANSPORTES LTDA;PE;B154;MULTICOM ATACADO E VAREJO S/A;000013864-1;20.12.2024;5.349,99;Feira de Santana;BA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;14.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753469
20 - Midea;BUIATTE TRANSPORTES E LOGISTICA;AM;B223;HC VAREJO E D. DE M. E E. LTDA;000370706-10;20.12.2024;232.860,78;Inhumas;GO;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753554
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;NORTE REFRIGERACAO LTDA;000370707-10;20.12.2024;41.590,53;Contagem;MG;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753556
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOMINAS MAQUINAS REPRES LTDA;000370708-10;20.12.2024;4.808,11;Belo Horizonte;MG;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753557
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DUZZI CLIMATIZACAO E REFRIG. LTDA;000370709-10;20.12.2024;2.624,43;Cuiabá;MT;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753558
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;NORTE REFRIGERACAO LTDA;000370710-10;20.12.2024;18.621,81;Contagem;MG;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753559
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;FRIOMINAS MAQUINAS REPRES LTDA;000370711-10;20.12.2024;65.263,29;Belo Horizonte;MG;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753563
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;J DE O NOGUEIRA & CIA LTDA;000370712-10;20.12.2024;20.074,77;Altamira;PA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753566
11 - Retail;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ARMAZEM MATEUS S/A;000370714-10;20.12.2024;57.158,73;Marabá;PA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753572
11 - Retail;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ARMAZEM MATEUS S/A;000370715-10;20.12.2024;67.245,07;Marabá;PA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753574
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CLIMASTER AR CONDICIONADO LTDA;000370716-10;20.12.2024;23.706,05;Aparecida do Taboado;MS;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753575
11 - Retail;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CIL COMERCIO DE INFORMATICA LTDA;000370717-10;20.12.2024;46.557,75;Recife;PE;Grupo A;900-EMISSÃO DE NOTA FISCAL;13.01.2025;30.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753577
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;IMPERADOR DAS MAQUINAS LTDA;000370718-10;20.12.2024;6.999,50;Belém;PA;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;13.01.2025;22.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753579
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CONGREGACAO CRISTA NO BRASIL;000370720-10;20.12.2024;33.767,97;Campo Grande;MS;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753583
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370721-10;20.12.2024;73.046,77;Serra;ES;Grupo C;900-EMISSÃO DE NOTA FISCAL;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753784
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370722-10;20.12.2024;25.411,47;Serra;ES;Grupo C;900-EMISSÃO DE NOTA FISCAL;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753795
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370723-10;20.12.2024;201.983,13;Serra;ES;Grupo C;900-EMISSÃO DE NOTA FISCAL;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753797
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370724-10;20.12.2024;7.931,55;Serra;ES;Grupo C;900-EMISSÃO DE NOTA FISCAL;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753799
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370725-10;20.12.2024;237.154,52;Serra;ES;Grupo C;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753813
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;RIQUENA NETO AR CONDICIONADO LTDA;000370726-10;20.12.2024;69.906,34;Serra;ES;Grupo C;900-EMISSÃO DE NOTA FISCAL;10.01.2025;21.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12753817
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;SP;B143;JBS S/A;000213577-1;20.12.2024;9.905,72;Diamantino;MT;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753866
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA LTD;SP;B143;MINERVA S/A;000213579-1;20.12.2024;18.956,85;Rolim de Moura;RO;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753872
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;SP;B143;JBS S/A;000213582-1;20.12.2024;20.562,53;Juara;MT;;900-EMISSÃO DE NOTA FISCAL;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12753963
40 - Totaline BR;ANEG TRANSPORTES LTDA;SP;B143;JBS S/A;000213589-1;20.12.2024;21.156,51;Mozarlândia;GO;;209-DATA DE SAÍDA DA TRANSPORTADORA;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754028
40 - Totaline BR;ANEG TRANSPORTES LTDA;SP;B142;RAIA DROGASIL S/A;000231178-1;20.12.2024;1.993,01;São Miguel do Oeste;SC;;209-DATA DE SAÍDA DA TRANSPORTADORA;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754054
40 - Totaline BR;PACIFICO LOG LOGISTICA E TRANSPORTE;RS;B102;COM. DE GENEROS ALIM. P. B. LTDA;000880186-1;20.12.2024;7.799,99;Ananindeua;PA;;098-CHEGADA NA CIDADE OU FILIAL DE DESTINO;17.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754296
40 - Totaline BR;RODOVIARIO BEDIN LIMITADA;RS;B102;FRIORIO D. DE P. P/ REFR. M. L LTDA;000880195-1;20.12.2024;17.160,72;Serra;ES;;091-ENTREGA PROGRAMADA;14.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754472
40 - Totaline BR;RODONAVES TRANSPORTES E ENCOMENDAS;SP;B143;UNIV. TECNOLOGICA FEDERAL DO PARANA;000213599-1;20.12.2024;18.825,08;Londrina;PR;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;21.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754484
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370734-10;20.12.2024;15.277,36;Serra;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754491
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370735-10;20.12.2024;14.824,75;Serra;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754492
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CLIMASTER AR CONDICIONADO LTDA;000370736-10;20.12.2024;69.240,76;Aparecida do Taboado;MS;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754493
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;SUPERAR LTDA;000370737-10;20.12.2024;165.199,39;Serra;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754494
12 - Dealer;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ECOENERGY SOL. ENERGETICAS LTDA;000370738-10;20.12.2024;104.333,44;Serra;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;14.01.2025;24.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12754495
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370739-10;20.12.2024;3.940,78;Serra;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754497
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370740-10;20.12.2024;3.940,78;Serra;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754498
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370741-10;20.12.2024;3.926,80;Serra;ES;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754499
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370742-10;20.12.2024;9.279,17;Serra;ES;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754500
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DUZZI CLIMATIZACAO E REFRIG. LTDA;000370743-10;20.12.2024;6.945,90;Cuiabá;MT;;900-EMISSÃO DE NOTA FISCAL;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754501
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370744-10;20.12.2024;2.319,79;Serra;ES;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754502
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;VIXBOT SOLUCOES EM INF. LTDA;000370745-10;20.12.2024;45.816,28;Vitória;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754504
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370746-10;20.12.2024;14.883,82;Serra;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754506
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;TOTAL AR LTDA;000370747-10;20.12.2024;7.436,19;Serra;ES;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754508
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DUZZI CLIMATIZACAO E REFRIG. LTDA;000370748-10;20.12.2024;5.612,41;Cuiabá;MT;;900-EMISSÃO DE NOTA FISCAL;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754510
40 - Totaline BR;MODULAR TRANSPORTES LTDA;SP;B143;UNIVERSIDADE FED. RIO G. DO NORTE;000213601-1;20.12.2024;7.786,53;Natal;RN;Grupo B;079-AVARIA PARCIAL;17.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO); X;12754515
40 - Totaline BR;PACIFICO LOG LOGISTICA E TRANSPORTE;RS;B102;COM. DE GEN. ALIM. PRECO BAIXO LTDA;000880219-1;20.12.2024;7.800,00;Belém;PA;;098-CHEGADA NA CIDADE OU FILIAL DE DESTINO;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754604
40 - Totaline BR;CAXIAS CARGAS AEREAS LTDA;RS;B102;IVAN GENTIL DA SILVA SERTAOZINHO;000880229-1;20.12.2024;668,95;Sertãozinho;SP;;900-EMISSÃO DE NOTA FISCAL;08.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12754736
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;ECOENERGY SOL. ENERGETICAS LTDA;000370764-10;20.12.2024;193.710,21;Serra;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;23.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12754904
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;ECOENERGY SOL. ENERGETICAS LTDA;000370765-10;20.12.2024;146.948,71;Serra;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;23.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12754906
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;ECOENERGY SOL. ENERGETICAS LTDA;000370766-10;20.12.2024;104.333,44;Serra;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;23.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12754907
12 - Dealer;LOG-IN - LOGISTICA INTERMODAL S/A;AM;B217;ECOENERGY SOL. ENERGETICAS LTDA;000370767-10;20.12.2024;84.437,90;Serra;ES;Grupo A;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;23.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12754908
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC. BIBL. E CULTURAL BELA VISTA;000370809-10;21.12.2024;2.387,90;Guarulhos;SP;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755532
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;N. CALDEIRA LEMES LTDA;000370810-10;21.12.2024;28.019,23;Anápolis;GO;;900-EMISSÃO DE NOTA FISCAL;09.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755533
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;IMPERADOR DAS MAQUINAS LTDA;000370811-10;21.12.2024;2.675,63;Belém;PA;Grupo A;900-EMISSÃO DE NOTA FISCAL;13.01.2025;22.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12755534
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CASA DO PICA-PAU LTDA;000370812-10;21.12.2024;5.429,54;Hidrolândia;GO;Grupo B;900-EMISSÃO DE NOTA FISCAL;10.01.2025;14.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12755535
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ARCLEAN COM. E SERV. DE REFR. LTDA;000370813-10;21.12.2024;13.526,79;Aracaju;SE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;11.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755536
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;GELAR REFRIGERACAO COM. LTDA;000370814-10;21.12.2024;9.580,79;Fortaleza;CE;Grupo A;900-EMISSÃO DE NOTA FISCAL;13.01.2025;27.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12755537
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ARCELORMITTAL BRASIL S/A;000370815-10;21.12.2024;22.483,97;Serra;ES;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755538
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ARLINDO GAGLIARDI VIEIRA;000370816-10;21.12.2024;2.999,31;Jaboticabal;SP;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755539
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC. BIBLICA E CULT. DE P. DE LUZ;000370817-10;21.12.2024;18.108,84;Ipatinga;MG;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755540
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC BIBL. E CULT. DA BORBOREMA;000370818-10;21.12.2024;12.072,59;Campina Grande;PB;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755541
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC. BIBL. E CULTURAL DE MACAPA;000370819-10;21.12.2024;12.072,55;Macapá;AP;;900-EMISSÃO DE NOTA FISCAL;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755542
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC BIBL. E CULT. DA BORBOREMA;000370820-10;21.12.2024;3.018,15;Campina Grande;PB;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755544
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;J DE O NOGUEIRA & CIA LTDA;000370822-10;21.12.2024;9.906,54;Altamira;PA;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755546
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC. EDUCATIVA DAS B. N. DO REINO;000370823-10;21.12.2024;3.018,14;Chapecó;SC;;900-EMISSÃO DE NOTA FISCAL;20.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755547
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;J DE O NOGUEIRA & CIA LTDA;000370824-10;21.12.2024;8.603,49;Altamira;PA;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755548
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DUZZI CLIMATIZACAO E REFRIG. LTDA;000370825-10;21.12.2024;16.207,11;Cuiabá;MT;;900-EMISSÃO DE NOTA FISCAL;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755549
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DUZZI CLIMATIZACAO E REFRIG. LTDA;000370826-10;21.12.2024;6.945,90;Cuiabá;MT;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755550
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;COND. MARINGA AIRPORT HOTEL;000370827-10;21.12.2024;81.912,53;Maringá;PR;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755552
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;GAV PIRENOPOLIS EMPR. IMOB. SPE LTD;000370828-10;21.12.2024;29.846,14;Pirenópolis;GO;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755553
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC. BIBL. E CULT. DE DOURADOS;000370829-10;21.12.2024;1.941,87;Dourados;MS;;900-EMISSÃO DE NOTA FISCAL;11.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755554
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;A. BIBL. E CULT. DA M. SOROCABANA;000370830-10;21.12.2024;3.883,76;Assis;SP;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755555
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CASA DO PICA-PAU LTDA;000370831-10;21.12.2024;8.777,37;Hidrolândia;GO;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;14.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12755556
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;COND. MARINGA AIRPORT HOTEL;000370832-10;21.12.2024;8.191,25;Maringá;PR;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;16.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755558
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;DUZZI CLIMATIZACAO E REFRIG. LTDA;000370833-10;21.12.2024;1.602,34;Cuiabá;MT;;900-EMISSÃO DE NOTA FISCAL;10.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755560
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;CLIMASTER AR CONDICIONADO LTDA;000370834-10;21.12.2024;268.549,92;Aparecida do Taboado;MS;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755561
11 - Retail;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MICHEL ABOU ASLY & CIA LTDA;000370835-10;21.12.2024;35.778,67;Fortaleza;CE;;900-EMISSÃO DE NOTA FISCAL;11.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755562
11 - Retail;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;MICHEL ABOU ASLY & CIA LTDA;000370836-10;21.12.2024;7.155,73;Fortaleza;CE;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;11.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755564
10 - BSS;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ENGENHARIA DE MATERIAIS LTDA;000370837-10;21.12.2024;54.919,45;Maceió;AL;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;11.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755565
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;NORTE REFRIGERACAO LTDA;000370838-10;21.12.2024;18.621,81;Contagem;MG;;900-EMISSÃO DE NOTA FISCAL;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755566
23 - Televendas;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;NORTE REFRIGERACAO LTDA;000370839-10;21.12.2024;10.325,37;Contagem;MG;;901-NOTA FISCAL AUTORIZADA NA SEFAZ;15.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12755567
40 - Totaline BR;BUIATTE TRANSPORTES E LOGISTICA;AM;B217;ASSOC. BIBL. E CULT. DE CASA VERDE;000370850-10;21.12.2024;2.387,90;São Paulo;SP;Grupo B;901-NOTA FISCAL AUTORIZADA NA SEFAZ;10.01.2025;10.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO); X;12757614
10 - BSS;PACIFICO LOG LOGISTICA E TRANSPORTE;RS;B101;NORTE REFRIGERACAO LTDA;000880528-1;21.12.2024;49.048,64;Belém;PA;;098-CHEGADA NA CIDADE OU FILIAL DE DESTINO;15.01.2025;15.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO);;12757649
10 - BSS;PACIFICO LOG LOGISTICA E TRANSPORTE;RS;B101;NORTE REFRIGERACAO LTDA;000880529-1;21.12.2024;41.030,84;Belém;PA;;098-CHEGADA NA CIDADE OU FILIAL DE DESTINO;15.01.2025;15.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO);;12757650
10 - BSS;PACIFICO LOG LOGISTICA E TRANSPORTE;RS;B101;NORTE REFRIGERACAO LTDA;000880532-1;21.12.2024;30.284,12;Belém;PA;;098-CHEGADA NA CIDADE OU FILIAL DE DESTINO;15.01.2025;15.01.2025;19-EM TRANSITO PARA ENTREGA (AGENDADO);;12757653
40 - Totaline BR;CAXIAS CARGAS AEREAS LTDA;RS;B102;IRACEMA DALMORO EIRELI;000880538-1;21.12.2024;2.681,94;Rio Branco;AC;;900-EMISSÃO DE NOTA FISCAL;13.01.2025;;20-EM TRANSITO PARA ENTREGA (NÃO AGENDADO);;12757679
